date,scenario_code,scenario_name,driver_rank,signal_name,signal_label,metric_type,driver_effect,contribution,raw_value,normalized_value,aligned_value,unit_score
2022-02-18,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,uso_ret_5d,USO 5d return,ret_z,offsetting,-0.063124,-0.015211,-0.631242,-0.631242,0.342189
2022-02-21,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,offsetting,-0.025336,0.002996,-0.506719,-0.506719,0.37332
2022-02-22,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.15,28.809999,2.437241,2.437241,1.0
2022-02-22,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,gld_ret_5d,GLD 5d return,ret_z,supporting,0.064887,0.015738,0.865161,0.865161,0.71629
2022-02-22,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,spy_ret_5d,SPY 5d return,ret_z,supporting,0.061301,-0.021525,-1.226021,1.226021,0.806505
2022-02-23,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.15,31.02,2.960157,2.960157,1.0
2022-02-23,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,gld_ret_5d,GLD 5d return,ret_z,supporting,0.123193,0.030102,1.642569,1.642569,0.910642
2022-02-23,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,spy_ret_5d,SPY 5d return,ret_z,supporting,0.1,-0.054136,-2.9291,2.9291,1.0
2022-02-24,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.15,30.32,2.709387,2.709387,1.0
2022-02-24,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,spy_ret_5d,SPY 5d return,ret_z,supporting,0.1,-0.040976,-2.177836,2.177836,1.0
2022-02-24,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,supporting,0.091979,0.032537,1.226393,1.226393,0.806598
2022-02-25,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.148158,27.59,1.975438,1.975438,0.993859
2022-02-25,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,supporting,0.142379,0.059198,1.89839,1.89839,0.974598
