ticker,asset_class,currency,factor,factor_label,direction,magnitude,sensitivity_level,raw_value,value_basis,sign_positive_meaning,sign_negative_meaning,structural_tags,evidence_metrics
034020.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.121176,low,-0.121176,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,corr_sp500_60d_krw=-0.121176
034020.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.606604,high,0.606604,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,corr_kospi200_60d_krw=0.606604
034020.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.008922,high,-0.008922,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,avg_stress_ret_krw=-0.008922
035420.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.055989,low,-0.055989,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,beta_sp500_1y_krw=-0.055989
035420.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.082615,low,0.082615,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,downside_beta_sp500_1y_krw=0.082615
035420.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,neutral,0.024571,low,0.024571,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_sp500_60d_krw=0.024571
035420.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.521102,medium,0.521102,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_kospi200_60d_krw=0.521102
035420.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.004623,high,-0.004623,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,avg_stress_ret_krw=-0.004623
035720.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.008561,low,0.008561,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,beta_sp500_1y_krw=0.008561
035720.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.116323,low,0.116323,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,downside_beta_sp500_1y_krw=0.116323
035720.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,neutral,0.088903,low,-0.088903,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_sp500_60d_krw=-0.088903
035720.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.655561,high,0.655561,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_kospi200_60d_krw=0.655561
035720.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.007714,high,-0.007714,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,avg_stress_ret_krw=-0.007714
051910.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.035573,low,0.035573,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,beta_sp500_1y_krw=0.035573
051910.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.076803,low,0.076803,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,downside_beta_sp500_1y_krw=0.076803
051910.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.248925,low,-0.248925,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_sp500_60d_krw=-0.248925
051910.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.623269,high,0.623269,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_kospi200_60d_krw=0.623269
051910.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.007487,high,-0.007487,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,avg_stress_ret_krw=-0.007487
055550.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.008828,low,-0.008828,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,credit_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,beta_sp500_1y_krw=-0.008828
055550.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.070644,low,0.070644,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,credit_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,downside_beta_sp500_1y_krw=0.070644
055550.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.149108,low,-0.149108,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,credit_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_sp500_60d_krw=-0.149108
055550.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.453887,medium,0.453887,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,credit_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_kospi200_60d_krw=0.453887
055550.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.00511,high,-0.00511,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,credit_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,avg_stress_ret_krw=-0.00511
066570.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.066704,low,0.066704,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,beta_sp500_1y_krw=0.066704
066570.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.099879,low,0.099879,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,downside_beta_sp500_1y_krw=0.099879
066570.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,neutral,0.043442,low,0.043442,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,corr_sp500_60d_krw=0.043442
066570.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.458629,medium,0.458629,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,corr_kospi200_60d_krw=0.458629
066570.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.006955,high,-0.006955,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,avg_stress_ret_krw=-0.006955
068270.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.0415,low,-0.0415,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy|korea_financial_proxy|rate_proxy,beta_sp500_1y_krw=-0.0415
068270.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.001469,low,-0.001469,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy|korea_financial_proxy|rate_proxy,downside_beta_sp500_1y_krw=-0.001469
068270.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.20968,low,-0.20968,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_sp500_60d_krw=-0.20968
068270.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.495422,medium,0.495422,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_kospi200_60d_krw=0.495422
068270.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.002263,medium,-0.002263,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy|korea_financial_proxy|rate_proxy,avg_stress_ret_krw=-0.002263
069500.KS,kr_etf,KRW,market_beta_sp500,S&P500 beta,neutral,0.057317,low,0.057317,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy|korea_financial_proxy,beta_sp500_1y_krw=0.057317
069500.KS,kr_etf,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.177912,low,0.177912,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy|korea_financial_proxy,downside_beta_sp500_1y_krw=0.177912
069500.KS,kr_etf,KRW,corr_sp500_60d,S&P500 60d correlation,neutral,0.032941,low,-0.032941,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy|korea_financial_proxy,corr_sp500_60d_krw=-0.032941
