ticker,asset_class,region,calendar_type,rows,expected_rows_calendar,missing_rate,coverage_ratio,coverage_ratio_calendar,invalid_price_count,duplicate_count,outlier_count,fx_missing_count,calendar_status,price_integrity_status,fx_status,dq_blocking,dq_reason_codes,dq_status,status
000270.KS,kr_stock,KR,KRX_TRADING_DAYS,4793,4959,0.0,1.0,0.966526,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
000660.KS,kr_stock,KR,KRX_TRADING_DAYS,4793,4959,0.0,1.0,0.966526,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
000810.KS,kr_stock,KR,KRX_TRADING_DAYS,4793,4959,0.0,1.0,0.966526,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
003670.KS,kr_stock,KR,KRX_TRADING_DAYS,4793,4959,0.0,1.0,0.966526,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
005380.KS,kr_stock,KR,KRX_TRADING_DAYS,4793,4959,0.0,1.0,0.966526,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
005490.KS,kr_stock,KR,KRX_TRADING_DAYS,4793,4959,0.0,1.0,0.966526,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
005930.KS,kr_stock,KR,KRX_TRADING_DAYS,4793,4959,0.0,1.0,0.966526,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
006400.KS,kr_stock,KR,KRX_TRADING_DAYS,4793,4959,0.0,1.0,0.966526,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
011200.KS,kr_stock,KR,KRX_TRADING_DAYS,4793,4959,0.0,1.0,0.966526,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
017670.KS,kr_stock,KR,KRX_TRADING_DAYS,4793,4959,0.0,1.0,0.966526,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
032830.KS,kr_stock,KR,KRX_TRADING_DAYS,3948,4083,0.0,0.823701,0.966936,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
034020.KS,kr_stock,KR,KRX_TRADING_DAYS,4793,4959,0.0,1.0,0.966526,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
035420.KS,kr_stock,KR,KRX_TRADING_DAYS,4793,4959,0.0,1.0,0.966526,0,0,1,0,WARN,WARN,PASS,False,calendar_coverage_warn|extreme_return_outlier_warn,WARN,WARN
035720.KS,kr_stock,KR,KRX_TRADING_DAYS,4793,4959,0.0,1.0,0.966526,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
051910.KS,kr_stock,KR,KRX_TRADING_DAYS,4793,4959,0.0,1.0,0.966526,0,0,1,0,WARN,WARN,PASS,False,calendar_coverage_warn|extreme_return_outlier_warn,WARN,WARN
055550.KS,kr_stock,KR,KRX_TRADING_DAYS,4793,4959,0.0,1.0,0.966526,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
066570.KS,kr_stock,KR,KRX_TRADING_DAYS,4793,4959,0.0,1.0,0.966526,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
068270.KS,kr_stock,KR,KRX_TRADING_DAYS,4793,4959,0.0,1.0,0.966526,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
069500.KS,kr_etf,KR,KRX_TRADING_DAYS,4197,4940,0.0,1.097829,0.849595,0,0,0,0,FAIL,PASS,PASS,True,calendar_coverage_fail,FAIL,FAIL
105560.KS,kr_stock,KR,KRX_TRADING_DAYS,4793,4959,0.0,1.0,0.966526,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
