candidate_source,candidate_name,recommendation_status,backtest_gate_status,formal_gate_blockers,formal_gate_blocker_count,target_evaluated_count,target_improved_count,target_worsened_count,target_insufficient_history_count,target_lags_cash_count,target_bootstrap_robust_count,target_bootstrap_count,target_bootstrap_min_p_improve,target_bootstrap_avg_p_improve,target_cash_bootstrap_robust_count,target_cash_bootstrap_count,target_cash_bootstrap_min_p_improve,target_cash_bootstrap_avg_p_improve,target_avg_cash_net_stress_delta,target_min_cash_net_stress_delta,target_avg_cash_net_mdd_delta,target_min_cash_net_mdd_delta,target_avg_cash_net_cvar_delta,target_min_cash_net_cvar_delta,target_max_turnover,combo_min_adv_60,liquidity_order_notional_krw,liquidity_adv_usage_pct,liquidity_capacity_status,formal_readiness_score,backtest_reason,reference_reason,gate_fail_reasons
multi,FXE + SPLV,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - FXE 1주 매수 불가
multi,FXF + 132030.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - FXF 1주 매수 불가
multi,FXF + 153130.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - FXF 1주 매수 불가
multi,FXF + SPLV,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - FXF 1주 매수 불가
one_to_one,005490.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 005490.KS 1주 매수 불가
one_to_one,032830.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 032830.KS 1주 매수 불가
one_to_one,207940.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 207940.KS 1주 매수 불가
one_to_one,AAPL,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - AAPL 1주 매수 불가
one_to_one,AMZN,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - AMZN 1주 매수 불가
one_to_one,BTC-USD,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - BTC-USD 1주 매수 불가
one_to_one,GLD,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - GLD 1주 매수 불가
one_to_one,GOOGL,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - GOOGL 1주 매수 불가
one_to_one,MSFT,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - MSFT 1주 매수 불가
one_to_one,ORCL,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - ORCL 1주 매수 불가
one_to_one,QCOM,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - QCOM 1주 매수 불가
one_to_one,TSM,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - TSM 1주 매수 불가
