ticker,asset_class,region,calendar_type,rows,expected_rows_calendar,missing_rate,coverage_ratio,coverage_ratio_calendar,invalid_price_count,duplicate_count,outlier_count,fx_missing_count,calendar_status,price_integrity_status,fx_status,dq_blocking,dq_reason_codes,dq_status,status
051910.KS,kr_stock,KR,KRX_TRADING_DAYS,4796,4961,0.0,1.0,0.966741,0,0,1,0,WARN,WARN,PASS,False,calendar_coverage_warn|extreme_return_outlier_warn,WARN,WARN
055550.KS,kr_stock,KR,KRX_TRADING_DAYS,4796,4961,0.0,1.0,0.966741,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
066570.KS,kr_stock,KR,KRX_TRADING_DAYS,4796,4961,0.0,1.0,0.966741,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
068270.KS,kr_stock,KR,KRX_TRADING_DAYS,4796,4961,0.0,1.0,0.966741,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
069500.KS,kr_etf,KR,KRX_TRADING_DAYS,4200,4942,0.0,1.097752,0.849858,0,0,0,0,FAIL,PASS,PASS,True,calendar_coverage_fail,FAIL,FAIL
105560.KS,kr_stock,KR,KRX_TRADING_DAYS,4796,4961,0.0,1.0,0.966741,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
114800.KS,kr_etf,KR,KRX_TRADING_DAYS,4084,4255,0.0,1.067433,0.959812,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
132030.KS,kr_etf,KR,KRX_TRADING_DAYS,3826,3983,0.0,1.0,0.960582,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
153130.KS,kr_etf,KR,KRX_TRADING_DAYS,3477,3620,0.0,0.908782,0.960497,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
207940.KS,kr_stock,KR,KRX_TRADING_DAYS,2341,2388,0.0,0.488115,0.980318,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
261240.KS,kr_etf,KR,KRX_TRADING_DAYS,2282,2356,0.0,0.596445,0.968591,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
AAPL,us_stock,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
ABBV,us_stock,US,US_MARKET_TRADING_DAYS,3379,3380,0.0,0.691143,0.999704,0,0,0,2117,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
AGG,bond_etf,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.017482,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
AMAT,us_stock,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
